Date,Humidity,Wind Speed,Pressure,Precipitation,Temperature,Dew Point
2024-01-01,61.7,6.5,30.0,0.0,5.777777777777777,-1.1111111111111112
2024-01-02,54.5,9.2,30.0,0.01,2.666666666666665,-5.888888888888889
2024-01-03,56.1,9.1,30.0,0.0,3.944444444444445,-4.111111111111111
2024-01-04,52.5,14.5,30.0,0.0,4.000000000000002,-5.111111111111111
2024-01-05,47.7,12.3,30.2,0.0,0.44444444444444287,-9.61111111111111
2024-01-06,68.8,12.5,30.0,0.0,1.6111111111111103,-3.7777777777777777
2024-01-07,82.9,16.0,29.6,0.39,2.7777777777777777,0.055555555555556344
2024-01-08,53.1,11.7,30.3,0.12,4.444444444444445,-4.444444444444445
2024-01-09,74.2,15.4,30.0,0.0,6.888888888888888,2.5
2024-01-10,67.7,17.4,29.2,2.27,10.833333333333334,4.333333333333332
2024-01-11,46.3,13.3,29.8,0.0,6.944444444444445,-4.0
2024-01-12,55.2,11.6,30.1,0.0,7.277777777777778,-1.3333333333333326
2024-01-13,71.5,20.0,29.4,1.08,10.0,4.388888888888888
2024-01-14,42.8,19.4,29.9,0.01,2.2222222222222223,-9.666666666666666
2024-01-15,45.7,8.3,30.2,0.0,-2.7777777777777777,-13.61111111111111
2024-01-16,79.3,10.6,29.9,0.13,-2.333333333333333,-5.499999999999999
2024-01-17,44.8,16.5,30.0,0.24,-5.277777777777778,-16.055555555555557
2024-01-18,41.1,10.5,30.1,0.0,-1.9444444444444444,-13.722222222222221
2024-01-19,65.1,20.0,29.8,0.0,-1.3333333333333326,-7.333333333333333
2024-01-20,52.9,20.0,29.9,0.03,-5.388888888888889,-13.666666666666666
2024-01-21,49.3,19.8,29.9,0.0,-3.5000000000000004,-12.944444444444445
2024-01-22,46.6,11.1,30.3,0.0,-0.3888888888888885,-10.833333333333334
2024-01-23,56.2,6.6,30.5,0.0,3.3888888888888897,-5.0
2024-01-24,86.1,6.5,30.5,0.04,4.222222222222223,-9.444444444444445
2024-01-25,88.7,6.2,30.1,0.21,10.5,8.722222222222223
2024-01-26,89.6,10.3,30.1,0.25,5.38888888888889,3.8333333333333326
2024-01-27,85.3,5.5,30.1,0.03,5.944444444444446,3.555555555555555
2024-01-28,84.5,13.5,30.0,0.48,4.222222222222223,1.7777777777777795
2024-01-29,73.2,12.2,30.1,0.52,2.999999999999999,-1.4444444444444453
2024-01-30,63.0,9.0,30.1,0.0,2.333333333333335,-4.166666666666667
2024-01-31,68.9,6.7,30.0,0.0,2.7777777777777777,-2.4444444444444438
